timestamp, utilization.gpu [%], memory.used [MiB]
2023/04/19 14:39:50.510, 92, 2334
2023/04/19 14:39:50.711, 92, 2334
2023/04/19 14:39:50.912, 92, 2334
2023/04/19 14:39:51.112, 92, 2334
2023/04/19 14:39:51.313, 92, 2334
2023/04/19 14:39:51.514, 92, 2334
2023/04/19 14:39:51.714, 91, 2334
2023/04/19 14:39:51.915, 91, 2334
2023/04/19 14:39:52.115, 91, 2334
2023/04/19 14:39:52.316, 91, 2334
2023/04/19 14:39:52.517, 91, 2334
2023/04/19 14:39:52.718, 93, 2334
2023/04/19 14:39:52.918, 93, 2334
2023/04/19 14:39:53.120, 93, 2334
2023/04/19 14:39:53.320, 93, 2334
2023/04/19 14:39:53.521, 93, 2334
2023/04/19 14:39:53.722, 93, 2334
2023/04/19 14:39:53.922, 93, 2334
2023/04/19 14:39:54.123, 93, 2334
2023/04/19 14:39:54.323, 93, 2334
2023/04/19 14:39:54.524, 93, 2334
2023/04/19 14:39:54.725, 93, 2334
2023/04/19 14:39:54.926, 93, 2334
2023/04/19 14:39:55.126, 93, 2334
2023/04/19 14:39:55.327, 93, 2334
2023/04/19 14:39:55.527, 93, 2334
2023/04/19 14:39:55.728, 92, 2334
2023/04/19 14:39:55.929, 92, 2334
2023/04/19 14:39:56.129, 92, 2334
2023/04/19 14:39:56.331, 92, 2334
2023/04/19 14:39:56.532, 92, 2334
2023/04/19 14:39:56.732, 92, 2334
2023/04/19 14:39:56.933, 92, 2334
2023/04/19 14:39:57.134, 92, 2334
2023/04/19 14:39:57.335, 92, 2334
2023/04/19 14:39:57.536, 92, 2334
2023/04/19 14:39:57.737, 92, 2334
2023/04/19 14:39:57.937, 92, 2334
2023/04/19 14:39:58.138, 92, 2334
2023/04/19 14:39:58.339, 92, 2334
2023/04/19 14:39:58.540, 92, 2334
2023/04/19 14:39:58.740, 92, 2334
2023/04/19 14:39:58.941, 92, 2334
2023/04/19 14:39:59.141, 92, 2334
2023/04/19 14:39:59.342, 92, 2334
2023/04/19 14:39:59.543, 92, 2334
2023/04/19 14:39:59.744, 92, 2334
2023/04/19 14:39:59.944, 92, 2334
2023/04/19 14:40:00.145, 92, 2334
2023/04/19 14:40:00.346, 92, 2334
2023/04/19 14:40:00.547, 92, 2334
2023/04/19 14:40:00.748, 93, 2334
2023/04/19 14:40:00.950, 93, 2334
2023/04/19 14:40:01.151, 93, 2334
2023/04/19 14:40:01.352, 93, 2334
2023/04/19 14:40:01.554, 93, 2334
2023/04/19 14:40:01.755, 92, 2334
2023/04/19 14:40:01.956, 92, 2334
2023/04/19 14:40:02.156, 92, 2334
2023/04/19 14:40:02.357, 92, 2334
2023/04/19 14:40:02.558, 92, 2334
2023/04/19 14:40:02.758, 93, 2334
2023/04/19 14:40:02.959, 93, 2334
2023/04/19 14:40:03.160, 93, 2334
2023/04/19 14:40:03.360, 93, 2334
2023/04/19 14:40:03.561, 93, 2334
2023/04/19 14:40:03.761, 93, 2334
2023/04/19 14:40:03.962, 93, 2334
2023/04/19 14:40:04.163, 93, 2334
2023/04/19 14:40:04.363, 93, 2334
2023/04/19 14:40:04.564, 93, 2334
2023/04/19 14:40:04.765, 91, 2334
2023/04/19 14:40:04.966, 91, 2334
2023/04/19 14:40:05.168, 91, 2334
2023/04/19 14:40:05.369, 91, 2334
2023/04/19 14:40:05.571, 91, 2334
2023/04/19 14:40:05.772, 92, 2334
2023/04/19 14:40:05.972, 92, 2334
2023/04/19 14:40:06.173, 92, 2334
2023/04/19 14:40:06.374, 92, 2334
2023/04/19 14:40:06.574, 92, 2334
2023/04/19 14:40:06.775, 92, 2334
2023/04/19 14:40:06.975, 92, 2334
2023/04/19 14:40:07.176, 92, 2334
2023/04/19 14:40:07.377, 92, 2334
2023/04/19 14:40:07.577, 92, 2334
2023/04/19 14:40:07.778, 92, 2334
2023/04/19 14:40:07.979, 92, 2334
2023/04/19 14:40:08.180, 92, 2334
2023/04/19 14:40:08.381, 92, 2334
2023/04/19 14:40:08.581, 92, 2334
2023/04/19 14:40:08.782, 91, 2334
2023/04/19 14:40:08.983, 91, 2334
2023/04/19 14:40:09.184, 91, 2334
2023/04/19 14:40:09.385, 91, 2334
2023/04/19 14:40:09.585, 91, 2334
